x               y               z               Bmag            
  -6.63057 -10.48646  -3.02739   6.05556
    -6.62949   -10.48520    -3.02730     6.05779
    -6.62840   -10.48394    -3.02721     6.06002
    -6.62732   -10.48268    -3.02713     6.06226
    -6.62623   -10.48142    -3.02704     6.06450
    -6.62515   -10.48016    -3.02695     6.06675
    -6.62406   -10.47889    -3.02687     6.06900
    -6.62297   -10.47763    -3.02678     6.07125
    -6.62189   -10.47637    -3.02670     6.07351
    -6.62080   -10.47511    -3.02661     6.07578
    -6.61972   -10.47385    -3.02653     6.07805
    -6.61863   -10.47259    -3.02644     6.08032
    -6.61754   -10.47133    -3.02636     6.08260
    -6.61646   -10.47007    -3.02628     6.08488
    -6.61537   -10.46880    -3.02620     6.08717
    -6.61428   -10.46754    -3.02611     6.08946
    -6.61320   -10.46628    -3.02603     6.09176
    -6.61211   -10.46502    -3.02595     6.09406
    -6.61102   -10.46376    -3.02587     6.09636
    -6.60994   -10.46250    -3.02579     6.09867
    -6.60885   -10.46124    -3.02572     6.10098
    -6.60776   -10.45998    -3.02564     6.10330
    -6.60668   -10.45871    -3.02556     6.10562
    -6.60559   -10.45745    -3.02548     6.10795
    -6.60450   -10.45619    -3.02541     6.11028
    -6.60342   -10.45493    -3.02533     6.11262
    -6.60233   -10.45367    -3.02526     6.11496
    -6.60124   -10.45241    -3.02518     6.11730
    -6.60015   -10.45115    -3.02511     6.11965
    -6.59907   -10.44989    -3.02503     6.12200
    -6.59798   -10.44863    -3.02496     6.12436
    -6.59689   -10.44736    -3.02489     6.12672
    -6.59580   -10.44610    -3.02482     6.12909
    -6.59472   -10.44484    -3.02474     6.13146
    -6.59363   -10.44358    -3.02467     6.13384
    -6.59254   -10.44232    -3.02460     6.13622
    -6.59145   -10.44106    -3.02453     6.13860
    -6.59037   -10.43980    -3.02446     6.14099
    -6.58928   -10.43854    -3.02440     6.14339
    -6.58819   -10.43728    -3.02433     6.14578
    -6.58710   -10.43602    -3.02426     6.14819
    -6.58601   -10.43476    -3.02419     6.15059
    -6.58493   -10.43350    -3.02413     6.15301
    -6.58384   -10.43224    -3.02406     6.15542
    -6.58275   -10.43097    -3.02400     6.15784
    -6.58166   -10.42971    -3.02393     6.16027
    -6.58057   -10.42845    -3.02387     6.16270
    -6.57948   -10.42719    -3.02380     6.16513
    -6.57840   -10.42593    -3.02374     6.16757
    -6.57731   -10.42467    -3.02368     6.17001
    -6.57622   -10.42341    -3.02362     6.17246
    -6.57513   -10.42215    -3.02355     6.17491
    -6.57404   -10.42089    -3.02349     6.17737
    -6.57295   -10.41963    -3.02343     6.17983
    -6.57186   -10.41837    -3.02337     6.18230
    -6.57077   -10.41711    -3.02331     6.18477
    -6.56969   -10.41585    -3.02325     6.18724
    -6.56860   -10.41459    -3.02320     6.18972
    -6.56751   -10.41333    -3.02314     6.19220
    -6.56642   -10.41207    -3.02308     6.19469
    -6.56533   -10.41081    -3.02303     6.19718
    -6.56424   -10.40955    -3.02297     6.19968
    -6.56315   -10.40829    -3.02291     6.20218
    -6.56206   -10.40703    -3.02286     6.20469
    -6.56097   -10.40577    -3.02280     6.20720
    -6.55988   -10.40451    -3.02275     6.20972
    -6.55879   -10.40325    -3.02270     6.21223
    -6.55770   -10.40199    -3.02265     6.21476
    -6.55661   -10.40073    -3.02259     6.21729
    -6.55552   -10.39947    -3.02254     6.21982
    -6.55443   -10.39821    -3.02249     6.22236
    -6.55334   -10.39695    -3.02244     6.22490
    -6.55225   -10.39569    -3.02239     6.22745
    -6.55116   -10.39443    -3.02234     6.23000
    -6.55007   -10.39317    -3.02229     6.23256
    -6.54898   -10.39191    -3.02224     6.23512
    -6.54789   -10.39065    -3.02220     6.23768
    -6.54680   -10.38939    -3.02215     6.24025
    -6.54571   -10.38813    -3.02210     6.24283
    -6.54462   -10.38687    -3.02206     6.24540
    -6.54353   -10.38561    -3.02201     6.24799
    -6.54244   -10.38435    -3.02197     6.25057
    -6.54135   -10.38309    -3.02192     6.25317
    -6.54026   -10.38183    -3.02188     6.25576
    -6.53917   -10.38057    -3.02183     6.25837
    -6.53808   -10.37931    -3.02179     6.26097
    -6.53699   -10.37805    -3.02175     6.26358
    -6.53590   -10.37679    -3.02171     6.26620
    -6.53481   -10.37553    -3.02167     6.26882
    -6.53372   -10.37427    -3.02162     6.27144
    -6.53263   -10.37301    -3.02158     6.27407
    -6.53153   -10.37175    -3.02154     6.27670
    -6.53044   -10.37050    -3.02151     6.27934
    -6.52935   -10.36924    -3.02147     6.28198
    -6.52826   -10.36798    -3.02143     6.28463
    -6.52717   -10.36672    -3.02139     6.28728
    -6.52608   -10.36546    -3.02135     6.28994
    -6.52499   -10.36420    -3.02132     6.29260
    -6.52390   -10.36294    -3.02128     6.29526
    -6.52280   -10.36168    -3.02125     6.29793
    -6.52171   -10.36042    -3.02121     6.30061
    -6.52062   -10.35916    -3.02118     6.30329
    -6.51953   -10.35790    -3.02114     6.30597
    -6.51844   -10.35665    -3.02111     6.30866
    -6.51735   -10.35539    -3.02108     6.31135
    -6.51626   -10.35413    -3.02105     6.31405
    -6.51516   -10.35287    -3.02102     6.31675
    -6.51407   -10.35161    -3.02098     6.31945
    -6.51298   -10.35035    -3.02095     6.32217
    -6.51189   -10.34909    -3.02092     6.32488
    -6.51080   -10.34783    -3.02090     6.32760
    -6.50970   -10.34657    -3.02087     6.33033
    -6.50861   -10.34532    -3.02084     6.33305
    -6.50752   -10.34406    -3.02081     6.33579
    -6.50643   -10.34280    -3.02078     6.33853
    -6.50534   -10.34154    -3.02076     6.34127
    -6.50424   -10.34028    -3.02073     6.34402
    -6.50315   -10.33902    -3.02071     6.34677
    -6.50206   -10.33776    -3.02068     6.34953
    -6.50097   -10.33651    -3.02066     6.35229
    -6.49987   -10.33525    -3.02063     6.35505
    -6.49878   -10.33399    -3.02061     6.35782
    -6.49769   -10.33273    -3.02059     6.36060
    -6.49660   -10.33147    -3.02056     6.36338
    -6.49550   -10.33021    -3.02054     6.36616
    -6.49441   -10.32896    -3.02052     6.36895
    -6.49332   -10.32770    -3.02050     6.37174
    -6.49222   -10.32644    -3.02048     6.37454
    -6.49113   -10.32518    -3.02046     6.37734
    -6.49004   -10.32392    -3.02044     6.38015
    -6.48895   -10.32266    -3.02042     6.38296
    -6.48785   -10.32141    -3.02040     6.38578
    -6.48676   -10.32015    -3.02039     6.38860
    -6.48567   -10.31889    -3.02037     6.39143
    -6.48457   -10.31763    -3.02035     6.39426
    -6.48348   -10.31637    -3.02034     6.39709
    -6.48239   -10.31512    -3.02032     6.39993
    -6.48129   -10.31386    -3.02031     6.40277
    -6.48020   -10.31260    -3.02029     6.40562
    -6.47911   -10.31134    -3.02028     6.40848
    -6.47801   -10.31009    -3.02027     6.41133
    -6.47692   -10.30883    -3.02025     6.41420
    -6.47583   -10.30757    -3.02024     6.41706
    -6.47473   -10.30631    -3.02023     6.41994
    -6.47364   -10.30505    -3.02022     6.42281
    -6.47255   -10.30380    -3.02021     6.42569
    -6.47145   -10.30254    -3.02020     6.42858
    -6.47036   -10.30128    -3.02019     6.43147
    -6.46926   -10.30002    -3.02018     6.43436
    -6.46817   -10.29877    -3.02017     6.43726
    -6.46708   -10.29751    -3.02016     6.44017
    -6.46598   -10.29625    -3.02015     6.44307
    -6.46489   -10.29499    -3.02015     6.44599
    -6.46379   -10.29374    -3.02014     6.44891
    -6.46270   -10.29248    -3.02014     6.45183
    -6.46161   -10.29122    -3.02013     6.45475
    -6.46051   -10.28997    -3.02013     6.45769
    -6.45942   -10.28871    -3.02012     6.46062
    -6.45832   -10.28745    -3.02012     6.46356
    -6.45723   -10.28619    -3.02011     6.46651
    -6.45613   -10.28494    -3.02011     6.46946
    -6.45504   -10.28368    -3.02011     6.47241
    -6.45395   -10.28242    -3.02011     6.47537
    -6.45285   -10.28117    -3.02011     6.47834
    -6.45176   -10.27991    -3.02011     6.48131
    -6.45066   -10.27865    -3.02011     6.48428
    -6.44957   -10.27740    -3.02011     6.48726
    -6.44847   -10.27614    -3.02011     6.49024
    -6.44738   -10.27488    -3.02011     6.49323
    -6.44628   -10.27363    -3.02011     6.49622
    -6.44519   -10.27237    -3.02011     6.49921
    -6.44409   -10.27111    -3.02012     6.50222
    -6.44300   -10.26986    -3.02012     6.50522
    -6.44190   -10.26860    -3.02013     6.50823
    -6.44081   -10.26734    -3.02013     6.51125
    -6.43971   -10.26609    -3.02014     6.51427
    -6.43862   -10.26483    -3.02014     6.51729
    -6.43752   -10.26357    -3.02015     6.52032
    -6.43643   -10.26232    -3.02015     6.52335
    -6.43533   -10.26106    -3.02016     6.52639
    -6.43424   -10.25980    -3.02017     6.52943
    -6.43314   -10.25855    -3.02018     6.53248
    -6.43205   -10.25729    -3.02019     6.53553
    -6.43095   -10.25604    -3.02020     6.53859
    -6.42986   -10.25478    -3.02021     6.54165
    -6.42876   -10.25352    -3.02022     6.54472
    -6.42767   -10.25227    -3.02023     6.54779
    -6.42657   -10.25101    -3.02024     6.55086
    -6.42548   -10.24975    -3.02025     6.55394
    -6.42438   -10.24850    -3.02026     6.55703
    -6.42329   -10.24724    -3.02028     6.56012
    -6.42219   -10.24599    -3.02029     6.56321
    -6.42109   -10.24473    -3.02030     6.56631
    -6.42000   -10.24348    -3.02032     6.56941
    -6.41890   -10.24222    -3.02033     6.57252
    -6.41781   -10.24096    -3.02035     6.57563
    -6.41671   -10.23971    -3.02037     6.57875
    -6.41562   -10.23845    -3.02038     6.58187
    -6.41452   -10.23720    -3.02040     6.58500
    -6.41342   -10.23594    -3.02042     6.58813
    -6.41233   -10.23469    -3.02044     6.59126
    -6.41123   -10.23343    -3.02045     6.59440
    -6.41014   -10.23218    -3.02047     6.59755
    -6.40904   -10.23092    -3.02049     6.60070
    -6.40794   -10.22966    -3.02051     6.60385
    -6.40685   -10.22841    -3.02053     6.60701
    -6.40575   -10.22715    -3.02056     6.61018
    -6.40465   -10.22590    -3.02058     6.61334
    -6.40356   -10.22464    -3.02060     6.61652
    -6.40246   -10.22339    -3.02062     6.61969
    -6.40137   -10.22213    -3.02065     6.62288
    -6.40027   -10.22088    -3.02067     6.62606
    -6.39917   -10.21962    -3.02069     6.62925
    -6.39808   -10.21837    -3.02072     6.63245
    -6.39698   -10.21711    -3.02074     6.63565
    -6.39588   -10.21586    -3.02077     6.63886
    -6.39479   -10.21460    -3.02080     6.64207
    -6.39369   -10.21335    -3.02082     6.64528
    -6.39259   -10.21209    -3.02085     6.64850
    -6.39150   -10.21084    -3.02088     6.65173
    -6.39040   -10.20958    -3.02091     6.65495
    -6.38930   -10.20833    -3.02094     6.65819
    -6.38821   -10.20707    -3.02097     6.66143
    -6.38711   -10.20582    -3.02100     6.66467
    -6.38601   -10.20457    -3.02103     6.66792
    -6.38492   -10.20331    -3.02106     6.67117
    -6.38382   -10.20206    -3.02109     6.67443
    -6.38272   -10.20080    -3.02112     6.67769
    -6.38163   -10.19955    -3.02115     6.68095
    -6.38053   -10.19829    -3.02119     6.68422
    -6.37943   -10.19704    -3.02122     6.68750
    -6.37834   -10.19579    -3.02126     6.69078
    -6.37724   -10.19453    -3.02129     6.69406
    -6.37614   -10.19328    -3.02132     6.69735
    -6.37504   -10.19202    -3.02136     6.70065
    -6.37395   -10.19077    -3.02140     6.70395
    -6.37285   -10.18951    -3.02143     6.70725
    -6.37175   -10.18826    -3.02147     6.71056
    -6.37066   -10.18701    -3.02151     6.71387
    -6.36956   -10.18575    -3.02155     6.71719
    -6.36846   -10.18450    -3.02158     6.72051
    -6.36736   -10.18324    -3.02162     6.72384
    -6.36627   -10.18199    -3.02166     6.72717
    -6.36517   -10.18074    -3.02170     6.73050
    -6.36407   -10.17948    -3.02174     6.73384
    -6.36297   -10.17823    -3.02179     6.73719
    -6.36188   -10.17698    -3.02183     6.74054
    -6.36078   -10.17572    -3.02187     6.74390
    -6.35968   -10.17447    -3.02191     6.74725
    -6.35858   -10.17322    -3.02195     6.75062
    -6.35749   -10.17196    -3.02200     6.75399
    -6.35639   -10.17071    -3.02204     6.75736
    -6.35529   -10.16946    -3.02209     6.76074
    -6.35419   -10.16820    -3.02213     6.76412
